Net plot grain weight (g),,,WEIGHT OF GRAIN YIELD PER HILL OF 20 PLANTS (G),,,,,,,,,,,,,,,,,,,,,,POD LENGTH AT 65 DAYS AFTER PLANTING (CM),,,,,,,,,,,,,,,,,,,,,,NUMBER OF POD PER PLANT AT 60 DAYS AFTER PLANTING,,,,,,,,,,,,,,,,,,,,,,POD LOAD SCORING,
Treatments,Reps,,TREATMENTS,REPS,,,,,,,,,,,,,,,,,,,,,TRTS,BLOCK/REPS,,,,,,,,,,,,,,,,,,,,,TRTS,REPS/BLOCK,,,,,,,,,,,,,,,,,,,,,TRTS,BLK/REPS
A,3,1,4,4,3,4,3,1,3,2,2,2,3,2,4,3,4,4,3,2,,A,4,2,3,2,3,3,3,2,2,3,1,4,3,3,1,4,2,3,2,2,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
A,4,2,1,1,4,2,3,2,2,3,3,2,2,3,2,2,2,3,2,2,,A,2,2,4,4,4,2,3,2,3,4,3,1,2,2,2,4,4,3,2,1,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
A,1,2,2,3,1,3,2,2,3,3,2,2,1,2,2,1,3,3,4,3,,A,3,3,2,3,2,2,1,4,2,3,4,4,3,2,3,4,3,2,1,3,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
B,4,3,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,,B,3,4,2,4,3,1,2,1,3,2,2,4,3,2,4,2,1,2,2,4,,B,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,
B,2,3,3,3,4,3,3,2,1,2,3,3,2,2,1,1,2,2,3,3,,B,1,1,4,3,4,4,4,3,4,4,3,2,4,4,2,2,3,4,2,2,,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
B,2,1,4,2,2,1,2,4,4,3,2,4,3,2,3,4,3,3,2,1,,B,2,1,4,3,3,1,4,2,3,1,2,1,2,3,3,3,3,2,2,3,,B,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
B,2,4,4,2,2,2,1,4,2,4,1,2,2,2,2,2,2,2,4,3,,B,2,4,2,3,2,3,3,2,2,1,2,2,2,3,4,2,3,2,2,3,,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
C,1,1,2,3,3,1,3,4,2,2,3,3,2,3,3,2,3,2,2,3,,C,3,2,4,2,3,2,1,3,3,2,2,1,1,3,3,3,4,1,3,2,,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
C,4,4,3,2,4,2,1,3,4,3,4,4,1,2,2,4,1,2,2,3,,C,3,2,4,1,4,2,1,3,4,2,3,2,3,1,3,2,2,3,3,4,,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
C,2,3,2,4,2,3,3,3,2,3,1,4,2,2,2,1,2,4,4,2,,C,4,4,3,3,4,2,3,4,1,1,2,2,3,3,4,4,1,3,2,4,,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
C,3,4,3,3,4,1,2,1,4,2,3,3,3,3,1,3,4,2,3,2,,C,2,4,1,1,2,4,2,2,4,2,2,2,3,4,1,3,4,2,3,2,,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
D,2,2,4,3,3,3,3,2,3,3,2,3,3,3,4,4,2,1,2,1,,D,2,3,2,1,4,3,4,4,3,4,1,2,2,4,2,4,3,1,3,4,,D,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
D,2,4,3,3,1,2,4,3,2,1,2,4,3,2,3,2,1,1,1,2,,D,2,3,2,4,2,1,3,4,3,2,1,2,4,2,3,3,4,2,3,3,,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
D,3,2,3,2,3,4,1,2,3,1,3,2,4,4,4,2,2,2,3,3,,D,4,3,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,1,4,3,,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
D,2,2,2,2,3,4,4,4,1,4,2,2,2,2,4,2,3,2,1,2,,D,1,2,2,4,1,3,4,2,2,2,4,4,2,2,2,2,2,2,2,2,,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
E,4,1,2,3,4,3,2,2,1,4,2,4,4,4,1,4,2,3,3,3,,E,1,2,3,2,1,2,1,3,2,2,3,1,2,3,3,2,4,4,1,2,,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
E,2,2,2,1,2,1,2,2,2,3,1,2,2,3,3,2,2,2,3,2,,E,3,4,2,2,3,2,2,2,4,3,2,3,3,2,4,2,1,3,3,4,,E,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
E,1,4,2,4,2,3,3,3,2,3,1,4,2,2,2,1,2,4,4,2,,E,3,3,3,3,3,4,2,3,4,3,3,3,2,3,4,1,2,3,1,4,,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
E,4,1,1,1,1,2,3,2,2,2,2,1,1,4,4,4,2,3,3,4,,E,2,2,2,2,3,1,2,3,3,2,3,3,2,4,2,4,2,4,2,2,,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APHIS CRACCIVORA INFESTATION 2ND OBSERVATION,,,,,,,,,,,,,,,,,,,,,,APHIS CRACCIVORA 3RD OBSERVATION,,,,,,,,,,,,,,,,,,,,,,APHIS CRACCIVORA INFESTATION 4TH OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,
TRTS,REP/BLK,,,,,,,,,,,,,,,,,,,,,TRTS,REP,,,,,,,,,,,,,,,,,,,,,TRTS,REP,,,,,,,,,,,,,,,,,,,,,,,,,
